,PeriodA (ms),CountA,AmpA (uA),DurA (ms),DelayA (ms),ChanA,PeriodB (ms),CountB,AmpB (uA),DurB (ms),DelayB (ms),ChanB,PeriodC (ms),CountC,AmpC (uA),DurC (ms),DelayC (ms),ChanC,PeriodD (ms),CountD,AmpD (uA),DurD (ms),DelayD (ms),ChanD
1,0.4,1,5.0,0.40,0.00,23,0.4,1,5.0,0.40,0.00,14,0.4,1,5.0,0.40,0.00,24,nan,nan,nan,nan,nan,nan
2,0.4,1,5.0,0.40,0.00,23,0.4,1,5.0,0.40,0.00,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,0.4,1,5.0,0.40,0.00,14,0.4,1,5.0,0.40,0.00,27,0.4,1,5.0,0.40,0.00,12,nan,nan,nan,nan,nan,nan
4,0.4,1,5.0,0.40,0.00,28,0.4,1,5.0,0.40,0.00,27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,0.4,1,5.0,0.40,0.00,13,0.4,1,5.0,0.40,0.00,15,0.4,1,5.0,0.40,0.00,2,0.4,1,5.0,0.40,0.00,22
6,0.4,1,5.0,0.40,0.00,15,0.4,1,5.0,0.40,0.00,9,0.4,1,5.0,0.40,0.00,8,0.4,1,5.0,0.40,0.00,32
7,0.4,1,5.0,0.40,0.00,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8,0.4,1,5.0,0.40,0.00,29,0.4,1,5.0,0.40,0.00,24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,0.4,1,5.0,0.40,0.00,27,0.4,1,5.0,0.40,0.00,5,0.4,1,5.0,0.40,0.00,3,nan,nan,nan,nan,nan,nan
10,0.4,1,5.0,0.40,0.00,23,0.4,1,5.0,0.40,0.00,5,0.4,1,5.0,0.40,0.00,18,nan,nan,nan,nan,nan,nan
11,0.4,1,5.0,0.40,0.00,32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,0.4,1,5.0,0.40,0.00,18,0.4,1,5.0,0.40,0.00,19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
